args Namespace(arch='resnet50', batch_size=32, closeset_ratio=0.2, conf_ema_range=[0.4, 0.4], cosine=True, dataset='food101n', epochs=200, epsilon=0.6, exp_dir='experiment/Food101N-sota/Food101N2023-12-12-14-41-57ds_food101n_lr_0.01_ep_200_ps_1_lw_0.4_warmupepochs_10_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=0.4, loss_weight2=1.0, low_dim=512, lr=0.01, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=101, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.99, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=25, warmupepochs=10, warmuplr=0.01, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 51.396820068359375, Acc 66.26425170898438, Best Acc 0. (lr 0.01, MMC 1.0)
Epoch 57: TrainACC tensor([59.58], device='cuda:0'), Acc 72.70028686523438, Best Acc 73.35734558105469. (lr 0.008128087068396848, MMC 0.8139808773994446)
Epoch 58: TrainACC tensor([59.76], device='cuda:0'), Acc 71.37824249267578, Best Acc 73.35734558105469. (lr 0.008066470732996617, MMC 0.814580500125885)
Epoch 59: TrainACC tensor([59.57], device='cuda:0'), Acc 70.7013931274414, Best Acc 73.35734558105469. (lr 0.008004099025502791, MMC 0.8145921230316162)
Epoch 60: TrainACC tensor([59.71], device='cuda:0'), Acc 71.4732437133789, Best Acc 73.35734558105469. (lr 0.007940987335200905, MMC 0.814893364906311)
Epoch 61: TrainACC tensor([59.81], device='cuda:0'), Acc 71.83343505859375, Best Acc 73.35734558105469. (lr 0.007877151233956176, MMC 0.8151090741157532)
Epoch 62: TrainACC tensor([59.78], device='cuda:0'), Acc 70.55493927001953, Best Acc 73.35734558105469. (lr 0.007812606472371393, MMC 0.8155155181884766)
Epoch 63: TrainACC tensor([59.92], device='cuda:0'), Acc 73.1475601196289, Best Acc 73.35734558105469. (lr 0.007747368975900669, MMC 0.8160224556922913)
Epoch 64: TrainACC tensor([60.11], device='cuda:0'), Acc 74.08565521240234, Best Acc 73.35734558105469. (lr 0.007681454840920088, MMC 0.8160235285758972)
Epoch 65: TrainACC tensor([60.09], device='cuda:0'), Acc 71.49699401855469, Best Acc 74.08565521240234. (lr 0.007614880330756165, MMC 0.8161892890930176)
Epoch 66: TrainACC tensor([60.12], device='cuda:0'), Acc 72.76757049560547, Best Acc 74.08565521240234. (lr 0.007547661871673105, MMC 0.8162771463394165)
Epoch 67: TrainACC tensor([60.32], device='cuda:0'), Acc 71.02992248535156, Best Acc 74.08565521240234. (lr 0.007479816048819876, MMC 0.8166031837463379)
Epoch 68: TrainACC tensor([60.25], device='cuda:0'), Acc 72.3677978515625, Best Acc 74.08565521240234. (lr 0.007411359602138068, MMC 0.8171155452728271)
Epoch 69: TrainACC tensor([60.69], device='cuda:0'), Acc 75.57789611816406, Best Acc 74.08565521240234. (lr 0.007342309422231565, MMC 0.8171176910400391)
Epoch 70: TrainACC tensor([59.74], device='cuda:0'), Acc 72.13426208496094, Best Acc 75.57789611816406. (lr 0.0072726825461990365, MMC 0.7997860312461853)
Epoch 71: TrainACC tensor([60.19], device='cuda:0'), Acc 71.13679504394531, Best Acc 75.57789611816406. (lr 0.0072024961534302955, MMC 0.7972714304924011)
Epoch 72: TrainACC tensor([60.24], device='cuda:0'), Acc 74.08169555664062, Best Acc 75.57789611816406. (lr 0.007131767561367538, MMC 0.7972551584243774)
Epoch 73: TrainACC tensor([60.43], device='cuda:0'), Acc 72.07884979248047, Best Acc 75.57789611816406. (lr 0.007060514221232519, MMC 0.7974613308906555)
Epoch 74: TrainACC tensor([60.58], device='cuda:0'), Acc 72.24113464355469, Best Acc 75.57789611816406. (lr 0.006988753713720729, MMC 0.7979302406311035)
Epoch 75: TrainACC tensor([60.55], device='cuda:0'), Acc 73.9471206665039, Best Acc 75.57789611816406. (lr 0.006916503744663623, MMC 0.7978635430335999)
Epoch 76: TrainACC tensor([60.59], device='cuda:0'), Acc 71.47720336914062, Best Acc 75.57789611816406. (lr 0.006843782140659968, MMC 0.7984521985054016)
Epoch 77: TrainACC tensor([60.69], device='cuda:0'), Acc 74.0777359008789, Best Acc 75.57789611816406. (lr 0.00677060684467739, MMC 0.7992934584617615)
Epoch 78: TrainACC tensor([60.78], device='cuda:0'), Acc 73.84420776367188, Best Acc 75.57789611816406. (lr 0.006696995911625232, MMC 0.7997192144393921)
Epoch 79: TrainACC tensor([60.87], device='cuda:0'), Acc 73.16339111328125, Best Acc 75.57789611816406. (lr 0.0066229675038997566, MMC 0.8000705242156982)
Epoch 80: TrainACC tensor([60.98], device='cuda:0'), Acc 72.38362884521484, Best Acc 75.57789611816406. (lr 0.006548539886902863, MMC 0.8003935217857361)
Epoch 81: TrainACC tensor([60.95], device='cuda:0'), Acc 74.52501678466797, Best Acc 75.57789611816406. (lr 0.006473731424535359, MMC 0.8004791736602783)
Epoch 82: TrainACC tensor([61.10], device='cuda:0'), Acc 74.88520812988281, Best Acc 75.57789611816406. (lr 0.00639856057466595, MMC 0.8013936877250671)
Epoch 83: TrainACC tensor([61.12], device='cuda:0'), Acc 72.51820373535156, Best Acc 75.57789611816406. (lr 0.006323045884577037, MMC 0.8016207814216614)
Epoch 84: TrainACC tensor([61.30], device='cuda:0'), Acc 74.3191909790039, Best Acc 75.57789611816406. (lr 0.006247205986388449, MMC 0.8024011850357056)
Epoch 85: TrainACC tensor([61.38], device='cuda:0'), Acc 71.6592788696289, Best Acc 75.57789611816406. (lr 0.006171059592460248, MMC 0.802191972732544)
Epoch 86: TrainACC tensor([61.51], device='cuda:0'), Acc 72.8625717163086, Best Acc 75.57789611816406. (lr 0.006094625490775731, MMC 0.802509605884552)
Epoch 87: TrainACC tensor([61.57], device='cuda:0'), Acc 74.79417419433594, Best Acc 75.57789611816406. (lr 0.00601792254030578, MMC 0.8032337427139282)
Epoch 88: TrainACC tensor([61.56], device='cuda:0'), Acc 73.95899200439453, Best Acc 75.57789611816406. (lr 0.005940969666355695, MMC 0.8036327362060547)
Epoch 89: TrainACC tensor([61.75], device='cuda:0'), Acc 75.71247863769531, Best Acc 75.57789611816406. (lr 0.00586378585589565, MMC 0.8035624027252197)
Epoch 90: TrainACC tensor([61.86], device='cuda:0'), Acc 74.39835357666016, Best Acc 75.71247863769531. (lr 0.005786390152875954, MMC 0.8041393756866455)
Epoch 91: TrainACC tensor([61.88], device='cuda:0'), Acc 73.84815979003906, Best Acc 75.71247863769531. (lr 0.005708801653528227, MMC 0.8047443628311157)
Epoch 92: TrainACC tensor([62.01], device='cuda:0'), Acc 75.35623931884766, Best Acc 75.71247863769531. (lr 0.005631039501653701, MMC 0.8052917718887329)
Epoch 93: TrainACC tensor([62.10], device='cuda:0'), Acc 75.93809509277344, Best Acc 75.71247863769531. (lr 0.005553122883899772, MMC 0.8057442307472229)
Epoch 94: TrainACC tensor([62.06], device='cuda:0'), Acc 74.37064361572266, Best Acc 75.93809509277344. (lr 0.005475071025025979, MMC 0.805692195892334)
Epoch 95: TrainACC tensor([62.30], device='cuda:0'), Acc 74.92874908447266, Best Acc 75.93809509277344. (lr 0.005396903183160586, MMC 0.8063727617263794)
Epoch 96: TrainACC tensor([62.33], device='cuda:0'), Acc 75.9578857421875, Best Acc 75.93809509277344. (lr 0.005318638645048921, MMC 0.8071419596672058)
Epoch 97: TrainACC tensor([62.50], device='cuda:0'), Acc 74.20835876464844, Best Acc 75.9578857421875. (lr 0.005240296721294665, MMC 0.8074936866760254)
Epoch 98: TrainACC tensor([62.48], device='cuda:0'), Acc 76.06871032714844, Best Acc 75.9578857421875. (lr 0.0051618967415952505, MMC 0.8077007532119751)
Epoch 99: TrainACC tensor([62.74], device='cuda:0'), Acc 76.1439208984375, Best Acc 76.06871032714844. (lr 0.005083458049972544, MMC 0.8077024817466736)
Epoch 100: TrainACC tensor([62.18], device='cuda:0'), Acc 74.48938751220703, Best Acc 76.1439208984375. (lr 0.005005, MMC 0.7981357574462891)
Epoch 101: TrainACC tensor([62.62], device='cuda:0'), Acc 73.38900756835938, Best Acc 76.1439208984375. (lr 0.0049265419500274564, MMC 0.796863853931427)
Epoch 102: TrainACC tensor([62.76], device='cuda:0'), Acc 74.25189971923828, Best Acc 76.1439208984375. (lr 0.004848103258404749, MMC 0.7975084781646729)
Epoch 103: TrainACC tensor([62.91], device='cuda:0'), Acc 75.44727325439453, Best Acc 76.1439208984375. (lr 0.004769703278705335, MMC 0.7981780171394348)
Epoch 104: TrainACC tensor([62.99], device='cuda:0'), Acc 75.47894287109375, Best Acc 76.1439208984375. (lr 0.00469136135495108, MMC 0.7990344166755676)
Epoch 105: TrainACC tensor([63.16], device='cuda:0'), Acc 75.35623931884766, Best Acc 76.1439208984375. (lr 0.004613096816839415, MMC 0.7999045252799988)
Epoch 106: TrainACC tensor([63.18], device='cuda:0'), Acc 76.8603515625, Best Acc 76.1439208984375. (lr 0.0045349289749740205, MMC 0.8000390529632568)
Epoch 107: TrainACC tensor([63.29], device='cuda:0'), Acc 76.91181182861328, Best Acc 76.8603515625. (lr 0.004456877116100229, MMC 0.801238477230072)
Epoch 108: TrainACC tensor([63.31], device='cuda:0'), Acc 76.00933837890625, Best Acc 76.91181182861328. (lr 0.0043789604983463, MMC 0.8011931777000427)
Epoch 109: TrainACC tensor([63.58], device='cuda:0'), Acc 77.36700439453125, Best Acc 76.91181182861328. (lr 0.004301198346471776, MMC 0.801793098449707)
Epoch 110: TrainACC tensor([63.64], device='cuda:0'), Acc 76.31807708740234, Best Acc 77.36700439453125. (lr 0.004223609847124047, MMC 0.8025239706039429)
Epoch 111: TrainACC tensor([63.75], device='cuda:0'), Acc 76.76139831542969, Best Acc 77.36700439453125. (lr 0.004146214144104349, MMC 0.8033811450004578)
Epoch 112: TrainACC tensor([63.93], device='cuda:0'), Acc 76.30620574951172, Best Acc 77.36700439453125. (lr 0.004069030333644305, MMC 0.8040364384651184)
Epoch 113: TrainACC tensor([63.96], device='cuda:0'), Acc 76.56744384765625, Best Acc 77.36700439453125. (lr 0.00399207745969422, MMC 0.80489581823349)
Epoch 114: TrainACC tensor([64.18], device='cuda:0'), Acc 76.00142669677734, Best Acc 77.36700439453125. (lr 0.003915374509224271, MMC 0.8050418496131897)
Epoch 115: TrainACC tensor([64.28], device='cuda:0'), Acc 77.44220733642578, Best Acc 77.36700439453125. (lr 0.0038389404075397523, MMC 0.8057248592376709)
Epoch 116: TrainACC tensor([64.37], device='cuda:0'), Acc 77.65199279785156, Best Acc 77.44220733642578. (lr 0.00376279401361155, MMC 0.8063466548919678)
Epoch 117: TrainACC tensor([64.48], device='cuda:0'), Acc 78.45155334472656, Best Acc 77.65199279785156. (lr 0.003686954115422963, MMC 0.8069263696670532)
Epoch 118: TrainACC tensor([64.65], device='cuda:0'), Acc 77.72720336914062, Best Acc 78.45155334472656. (lr 0.0036114394253340507, MMC 0.8074951171875)
Epoch 119: TrainACC tensor([64.69], device='cuda:0'), Acc 77.01472473144531, Best Acc 78.45155334472656. (lr 0.0035362685754646425, MMC 0.8080132603645325)
Epoch 120: TrainACC tensor([64.82], device='cuda:0'), Acc 77.94490051269531, Best Acc 78.45155334472656. (lr 0.0034614601130971393, MMC 0.8089824318885803)
Epoch 121: TrainACC tensor([64.96], device='cuda:0'), Acc 78.26947021484375, Best Acc 78.45155334472656. (lr 0.0033870324961002437, MMC 0.8099412322044373)
Epoch 122: TrainACC tensor([65.16], device='cuda:0'), Acc 79.1838150024414, Best Acc 78.45155334472656. (lr 0.0033130040883747698, MMC 0.8110051155090332)
Epoch 123: TrainACC tensor([65.29], device='cuda:0'), Acc 77.89344787597656, Best Acc 79.1838150024414. (lr 0.0032393931553226117, MMC 0.8115346431732178)
Epoch 124: TrainACC tensor([65.31], device='cuda:0'), Acc 79.3263168334961, Best Acc 79.1838150024414. (lr 0.003166217859340035, MMC 0.8121358752250671)
Epoch 125: TrainACC tensor([65.49], device='cuda:0'), Acc 78.60195922851562, Best Acc 79.3263168334961. (lr 0.003093496255336378, MMC 0.8130823969841003)
Epoch 126: TrainACC tensor([65.73], device='cuda:0'), Acc 78.29718017578125, Best Acc 79.3263168334961. (lr 0.0030212462862792703, MMC 0.8133441209793091)
Epoch 127: TrainACC tensor([65.81], device='cuda:0'), Acc 79.49256134033203, Best Acc 79.3263168334961. (lr 0.002949485778767482, MMC 0.8142924308776855)
Epoch 128: TrainACC tensor([66.07], device='cuda:0'), Acc 78.48717498779297, Best Acc 79.49256134033203. (lr 0.0028782324386324625, MMC 0.8146839737892151)
Epoch 129: TrainACC tensor([66.03], device='cuda:0'), Acc 79.33026885986328, Best Acc 79.49256134033203. (lr 0.002807503846569704, MMC 0.8147119879722595)
Epoch 130: TrainACC tensor([65.87], device='cuda:0'), Acc 79.25902557373047, Best Acc 79.49256134033203. (lr 0.002737317453800964, MMC 0.8109419941902161)
Epoch 131: TrainACC tensor([66.25], device='cuda:0'), Acc 79.97149658203125, Best Acc 79.49256134033203. (lr 0.0026676905777684367, MMC 0.8113342523574829)
Epoch 132: TrainACC tensor([66.31], device='cuda:0'), Acc 78.9265365600586, Best Acc 79.97149658203125. (lr 0.0025986403978619315, MMC 0.8119211792945862)
Epoch 133: TrainACC tensor([66.59], device='cuda:0'), Acc 78.67716979980469, Best Acc 79.97149658203125. (lr 0.0025301839511801243, MMC 0.812454879283905)
Epoch 134: TrainACC tensor([66.73], device='cuda:0'), Acc 80.3831558227539, Best Acc 79.97149658203125. (lr 0.0024623381283268952, MMC 0.814190685749054)
Epoch 135: TrainACC tensor([66.90], device='cuda:0'), Acc 79.59151458740234, Best Acc 80.3831558227539. (lr 0.002395119669243836, MMC 0.8148214817047119)
Epoch 136: TrainACC tensor([67.08], device='cuda:0'), Acc 80.08232879638672, Best Acc 80.3831558227539. (lr 0.0023285451590799107, MMC 0.8156571984291077)
Epoch 137: TrainACC tensor([67.23], device='cuda:0'), Acc 80.60877227783203, Best Acc 80.3831558227539. (lr 0.0022626310240993312, MMC 0.816713273525238)
Epoch 138: TrainACC tensor([67.39], device='cuda:0'), Acc 80.18920135498047, Best Acc 80.60877227783203. (lr 0.002197393527628607, MMC 0.8170301914215088)
Epoch 139: TrainACC tensor([67.55], device='cuda:0'), Acc 80.86605072021484, Best Acc 80.60877227783203. (lr 0.0021328487660438235, MMC 0.8182818293571472)
Epoch 140: TrainACC tensor([67.67], device='cuda:0'), Acc 79.33026885986328, Best Acc 80.86605072021484. (lr 0.0020690126647990976, MMC 0.8194618225097656)
Epoch 141: TrainACC tensor([67.79], device='cuda:0'), Acc 81.10750579833984, Best Acc 80.86605072021484. (lr 0.00200590097449721, MMC 0.8206787109375)
Epoch 142: TrainACC tensor([68.04], device='cuda:0'), Acc 81.44395446777344, Best Acc 81.10750579833984. (lr 0.0019435292670033821, MMC 0.8219602108001709)
Epoch 143: TrainACC tensor([68.24], device='cuda:0'), Acc 81.28166198730469, Best Acc 81.44395446777344. (lr 0.0018819129316031526, MMC 0.8227180242538452)
Epoch 144: TrainACC tensor([68.33], device='cuda:0'), Acc 81.23020935058594, Best Acc 81.44395446777344. (lr 0.001821067171205295, MMC 0.8227935433387756)
Epoch 145: TrainACC tensor([68.56], device='cuda:0'), Acc 81.05604553222656, Best Acc 81.44395446777344. (lr 0.0017610069985907334, MMC 0.8238285779953003)
Epoch 146: TrainACC tensor([68.81], device='cuda:0'), Acc 81.07583618164062, Best Acc 81.44395446777344. (lr 0.0017017472327083597, MMC 0.8254904747009277)
Epoch 147: TrainACC tensor([68.93], device='cuda:0'), Acc 81.47957611083984, Best Acc 81.44395446777344. (lr 0.0016433024950186818, MMC 0.8259681463241577)
Epoch 148: TrainACC tensor([69.04], device='cuda:0'), Acc 82.4295425415039, Best Acc 81.47957611083984. (lr 0.0015856872058862, MMC 0.827816903591156)
Epoch 149: TrainACC tensor([69.32], device='cuda:0'), Acc 81.50727844238281, Best Acc 82.4295425415039. (lr 0.0015289155810213901, MMC 0.8283849954605103)
Epoch 150: TrainACC tensor([69.47], device='cuda:0'), Acc 82.04164123535156, Best Acc 82.4295425415039. (lr 0.0014730016279731956, MMC 0.8301108479499817)
Epoch 151: TrainACC tensor([69.61], device='cuda:0'), Acc 81.61811065673828, Best Acc 82.4295425415039. (lr 0.0014179591426728725, MMC 0.8315044045448303)
Epoch 152: TrainACC tensor([69.95], device='cuda:0'), Acc 82.45329284667969, Best Acc 82.4295425415039. (lr 0.0013638017060300506, MMC 0.8327014446258545)
Epoch 153: TrainACC tensor([70.12], device='cuda:0'), Acc 82.25933837890625, Best Acc 82.45329284667969. (lr 0.0013105426805818442, MMC 0.8340915441513062)
Epoch 154: TrainACC tensor([70.34], device='cuda:0'), Acc 82.34246063232422, Best Acc 82.45329284667969. (lr 0.0012581952071958544, MMC 0.8355046510696411)
Epoch 155: TrainACC tensor([70.55], device='cuda:0'), Acc 82.82140350341797, Best Acc 82.45329284667969. (lr 0.0012067722018278455, MMC 0.8369706869125366)
