args Namespace(arch='sevenCNN', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='cifar100', epochs=200, epsilon=0.6, exp_dir='experiment/cifar-sota/Cifar2023-08-14-14-20-03ds_cifar100_lr_0.02_ep_200_ps_1_lw_1.3_warmupepochs_30_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=1.3, loss_weight2=0.7, low_dim=256, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.9, n_classes=100, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.988, rechange_per_epoch=30, resume='', seed=100, synthetic_data='cifar100nc', topk=10, warmupepochs=30, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 7.044437408447266, Acc 14.769999504089355, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 118: TrainACC tensor([57.72], device='cuda:0'), Acc 58.90999984741211, Best Acc 59.63999938964844. (lr 0.007222878850668101, MMC 0.8581070303916931)
Epoch 119: TrainACC tensor([57.33], device='cuda:0'), Acc 59.46999740600586, Best Acc 59.63999938964844. (lr 0.007072537150929285, MMC 0.8578438758850098)
Epoch 120: TrainACC tensor([57.45], device='cuda:0'), Acc 59.57999801635742, Best Acc 59.63999938964844. (lr 0.0069229202261942785, MMC 0.856743574142456)
Epoch 121: TrainACC tensor([57.90], device='cuda:0'), Acc 58.96999740600586, Best Acc 59.63999938964844. (lr 0.006774064992200487, MMC 0.8559022545814514)
Epoch 122: TrainACC tensor([58.06], device='cuda:0'), Acc 59.48999786376953, Best Acc 59.63999938964844. (lr 0.0066260081767495396, MMC 0.8553101420402527)
Epoch 123: TrainACC tensor([58.10], device='cuda:0'), Acc 59.73999786376953, Best Acc 59.63999938964844. (lr 0.006478786310645223, MMC 0.8546135425567627)
Epoch 124: TrainACC tensor([58.31], device='cuda:0'), Acc 59.29999923706055, Best Acc 59.73999786376953. (lr 0.00633243571868007, MMC 0.8541659712791443)
Epoch 125: TrainACC tensor([58.58], device='cuda:0'), Acc 58.91999816894531, Best Acc 59.73999786376953. (lr 0.006186992510672756, MMC 0.8539954423904419)
Epoch 126: TrainACC tensor([58.55], device='cuda:0'), Acc 60.519996643066406, Best Acc 59.73999786376953. (lr 0.0060424925725585405, MMC 0.8540172576904297)
Epoch 127: TrainACC tensor([58.78], device='cuda:0'), Acc 60.349998474121094, Best Acc 60.519996643066406. (lr 0.005898971557534964, MMC 0.8540573120117188)
Epoch 128: TrainACC tensor([59.13], device='cuda:0'), Acc 59.16999816894531, Best Acc 60.519996643066406. (lr 0.005756464877264925, MMC 0.8541442155838013)
Epoch 129: TrainACC tensor([59.14], device='cuda:0'), Acc 59.31999969482422, Best Acc 60.519996643066406. (lr 0.005615007693139408, MMC 0.854465126991272)
Epoch 130: TrainACC tensor([59.41], device='cuda:0'), Acc 59.96999740600586, Best Acc 60.519996643066406. (lr 0.005474634907601928, MMC 0.8548703193664551)
Epoch 131: TrainACC tensor([59.26], device='cuda:0'), Acc 58.779998779296875, Best Acc 60.519996643066406. (lr 0.0053353811555368735, MMC 0.855277419090271)
Epoch 132: TrainACC tensor([59.73], device='cuda:0'), Acc 59.869998931884766, Best Acc 60.519996643066406. (lr 0.005197280795723863, MMC 0.8557056188583374)
Epoch 133: TrainACC tensor([59.66], device='cuda:0'), Acc 60.73999786376953, Best Acc 60.519996643066406. (lr 0.005060367902360249, MMC 0.8559890389442444)
