args Namespace(arch='InceptionResNetV2', batch_size=32, closeset_ratio=0.2, conf_ema_range=[0.4, 0.4], cosine=True, dataset='Webvision', epochs=200, epsilon=0.6, exp_dir='experiment/Webvision_cuda0/Resample_2023-08-03-15-12-10ds_Webvision_pr_0.1_lr_0.02_ep_200_ps_1_lw_0.4_heir_False_warmupepochs_39_rechange_per_epoch_30', forget_rate=0.15, gpu=0, hierarchical=False, loss_weight1=0.4, loss_weight2=1.0, loss_weight4=1.0, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=50, noise_type='symmetric', partial_rate=0.1, print_freq=100, prot_start=1, proto_m=0.99, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=25, warmupepochs=39, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 21.851245880126953, Acc 24.044586181640625, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 100: TrainACC tensor([70.31], device='cuda:0'), Acc 69.74522399902344, Best Acc 71.49681854248047. (lr 0.01001, MMC 0.9467736482620239)
Epoch 101: TrainACC tensor([70.52], device='cuda:0'), Acc 69.7850341796875, Best Acc 71.49681854248047. (lr 0.009853083900054913, MMC 0.9471795558929443)
Epoch 102: TrainACC tensor([71.04], device='cuda:0'), Acc 69.34713745117188, Best Acc 71.49681854248047. (lr 0.009696206516809499, MMC 0.9473757743835449)
Epoch 103: TrainACC tensor([70.97], device='cuda:0'), Acc 66.36146545410156, Best Acc 71.49681854248047. (lr 0.00953940655741067, MMC 0.9479673504829407)
Epoch 104: TrainACC tensor([70.97], device='cuda:0'), Acc 70.26274108886719, Best Acc 71.49681854248047. (lr 0.00938272270990216, MMC 0.9488726854324341)
Epoch 105: TrainACC tensor([71.27], device='cuda:0'), Acc 69.54618072509766, Best Acc 71.49681854248047. (lr 0.00922619363367883, MMC 0.949012815952301)
Epoch 106: TrainACC tensor([71.32], device='cuda:0'), Acc 70.66082763671875, Best Acc 71.49681854248047. (lr 0.009069857949948041, MMC 0.9496583938598633)
Epoch 107: TrainACC tensor([71.55], device='cuda:0'), Acc 68.90923309326172, Best Acc 71.49681854248047. (lr 0.008913754232200458, MMC 0.94987553358078)
Epoch 108: TrainACC tensor([71.87], device='cuda:0'), Acc 70.58121490478516, Best Acc 71.49681854248047. (lr 0.0087579209966926, MMC 0.9493648409843445)
Epoch 109: TrainACC tensor([72.08], device='cuda:0'), Acc 71.41719818115234, Best Acc 71.49681854248047. (lr 0.008602396692943551, MMC 0.9501368999481201)
Epoch 110: TrainACC tensor([72.15], device='cuda:0'), Acc 69.58599090576172, Best Acc 71.49681854248047. (lr 0.008447219694248094, MMC 0.9499907493591309)
Epoch 111: TrainACC tensor([72.26], device='cuda:0'), Acc 70.50159454345703, Best Acc 71.49681854248047. (lr 0.008292428288208697, MMC 0.9498677253723145)
Epoch 112: TrainACC tensor([72.40], device='cuda:0'), Acc 70.70063781738281, Best Acc 71.49681854248047. (lr 0.00813806066728861, MMC 0.9506427645683289)
Epoch 113: TrainACC tensor([72.68], device='cuda:0'), Acc 69.0286636352539, Best Acc 71.49681854248047. (lr 0.00798415491938844, MMC 0.9507036209106445)
Epoch 114: TrainACC tensor([72.77], device='cuda:0'), Acc 70.62101745605469, Best Acc 71.49681854248047. (lr 0.007830749018448543, MMC 0.9513539671897888)
Epoch 115: TrainACC tensor([73.05], device='cuda:0'), Acc 71.53662872314453, Best Acc 71.49681854248047. (lr 0.0076778808150795045, MMC 0.9508715271949768)
Epoch 116: TrainACC tensor([73.34], device='cuda:0'), Acc 71.1783447265625, Best Acc 71.53662872314453. (lr 0.0075255880272231, MMC 0.9512583017349243)
Epoch 117: TrainACC tensor([73.48], device='cuda:0'), Acc 71.05892181396484, Best Acc 71.53662872314453. (lr 0.007373908230845926, MMC 0.951518714427948)
Epoch 118: TrainACC tensor([73.53], device='cuda:0'), Acc 70.0636978149414, Best Acc 71.53662872314453. (lr 0.007222878850668101, MMC 0.9510550498962402)
Epoch 119: TrainACC tensor([73.69], device='cuda:0'), Acc 71.61624145507812, Best Acc 71.53662872314453. (lr 0.007072537150929285, MMC 0.9516724944114685)
Epoch 120: TrainACC tensor([73.89], device='cuda:0'), Acc 72.05413818359375, Best Acc 71.61624145507812. (lr 0.0069229202261942785, MMC 0.9514576196670532)
Epoch 121: TrainACC tensor([74.08], device='cuda:0'), Acc 71.89490509033203, Best Acc 72.05413818359375. (lr 0.006774064992200487, MMC 0.9514834880828857)
Epoch 122: TrainACC tensor([74.39], device='cuda:0'), Acc 70.46178436279297, Best Acc 72.05413818359375. (lr 0.0066260081767495396, MMC 0.9521769881248474)
Epoch 123: TrainACC tensor([74.68], device='cuda:0'), Acc 72.21337890625, Best Acc 72.05413818359375. (lr 0.006478786310645223, MMC 0.9526163935661316)
Epoch 124: TrainACC tensor([74.77], device='cuda:0'), Acc 72.65127563476562, Best Acc 72.21337890625. (lr 0.00633243571868007, MMC 0.9531239867210388)
Epoch 125: TrainACC tensor([74.94], device='cuda:0'), Acc 72.25318908691406, Best Acc 72.65127563476562. (lr 0.006186992510672756, MMC 0.9534602761268616)
Epoch 126: TrainACC tensor([75.26], device='cuda:0'), Acc 71.05892181396484, Best Acc 72.65127563476562. (lr 0.0060424925725585405, MMC 0.9539520144462585)
Epoch 127: TrainACC tensor([75.32], device='cuda:0'), Acc 70.97930145263672, Best Acc 72.65127563476562. (lr 0.005898971557534964, MMC 0.9543062448501587)
Epoch 128: TrainACC tensor([75.59], device='cuda:0'), Acc 71.85509490966797, Best Acc 72.65127563476562. (lr 0.005756464877264925, MMC 0.954276442527771)
Epoch 129: TrainACC tensor([75.55], device='cuda:0'), Acc 71.33757781982422, Best Acc 72.65127563476562. (lr 0.005615007693139408, MMC 0.9508206248283386)
Epoch 130: TrainACC tensor([75.64], device='cuda:0'), Acc 72.53184509277344, Best Acc 72.65127563476562. (lr 0.005474634907601928, MMC 0.9518992900848389)
Epoch 131: TrainACC tensor([75.90], device='cuda:0'), Acc 73.12898254394531, Best Acc 72.65127563476562. (lr 0.0053353811555368735, MMC 0.951892614364624)
Epoch 132: TrainACC tensor([76.03], device='cuda:0'), Acc 71.73567199707031, Best Acc 73.12898254394531. (lr 0.005197280795723863, MMC 0.9528518915176392)
Epoch 133: TrainACC tensor([76.27], device='cuda:0'), Acc 73.8853530883789, Best Acc 73.12898254394531. (lr 0.005060367902360249, MMC 0.9534322023391724)
Epoch 134: TrainACC tensor([76.64], device='cuda:0'), Acc 72.77069854736328, Best Acc 73.8853530883789. (lr 0.0049246762566537905, MMC 0.9541217088699341)
Epoch 135: TrainACC tensor([76.81], device='cuda:0'), Acc 73.64649963378906, Best Acc 73.8853530883789. (lr 0.004790239338487672, MMC 0.9546305537223816)
Epoch 136: TrainACC tensor([76.87], device='cuda:0'), Acc 72.45223236083984, Best Acc 73.8853530883789. (lr 0.004657090318159821, MMC 0.9548916220664978)
Epoch 137: TrainACC tensor([77.21], device='cuda:0'), Acc 72.4920425415039, Best Acc 73.8853530883789. (lr 0.0045252620481986625, MMC 0.9553492665290833)
Epoch 138: TrainACC tensor([77.46], device='cuda:0'), Acc 73.04936218261719, Best Acc 73.8853530883789. (lr 0.004394787055257214, MMC 0.9557275772094727)
Epoch 139: TrainACC tensor([77.61], device='cuda:0'), Acc 73.3280258178711, Best Acc 73.8853530883789. (lr 0.004265697532087647, MMC 0.956195056438446)
Epoch 140: TrainACC tensor([77.88], device='cuda:0'), Acc 73.606689453125, Best Acc 73.8853530883789. (lr 0.004138025329598195, MMC 0.9567177891731262)
Epoch 141: TrainACC tensor([78.26], device='cuda:0'), Acc 72.45223236083984, Best Acc 73.8853530883789. (lr 0.00401180194899442, MMC 0.956765353679657)
Epoch 142: TrainACC tensor([78.29], device='cuda:0'), Acc 72.65127563476562, Best Acc 73.8853530883789. (lr 0.0038870585340067642, MMC 0.9575701951980591)
Epoch 143: TrainACC tensor([78.57], device='cuda:0'), Acc 73.52706909179688, Best Acc 73.8853530883789. (lr 0.003763825863206305, MMC 0.9579111933708191)
Epoch 144: TrainACC tensor([78.90], device='cuda:0'), Acc 72.9697494506836, Best Acc 73.8853530883789. (lr 0.00364213434241059, MMC 0.9583652019500732)
Epoch 145: TrainACC tensor([79.01], device='cuda:0'), Acc 74.12420654296875, Best Acc 73.8853530883789. (lr 0.003522013997181467, MMC 0.95876544713974)
